#,Th219,Fr220,Ra220,Ac220,Rn221,Fr221,Ra221,Ac221,Ra222,Ac222,Pa222,Ac223,Th223,Pa223,Th224,Pa224,Th225,Th226,
#30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,21.57,
150,1.68,0.00,25.36,8.34,15.05,0.00,26.91,39.82,6.59,0.00,5.59,9.41,11.73,7.28,2.21,25.36,10.44,52.67,
165,3.69,1.65,8.60,4.30,23.11,0.00,16.69,18.52,3.49,12.12,7.37,12.33,6.51,4.47,5.54,8.60,6.05,18.91,
170,3.99,2.84,9.66,3.12,0.00,0.00,30.12,23.89,6.47,6.30,3.19,21.85,8.38,4.10,7.88,9.66,11.04,0.00,
180,1.67,0.79,8.61,3.57,0.00,0.00,8.06,15.84,3.08,4.41,0.00,7.93,0.00,1.65,0.00,8.61,3.92,0.00,
190,19.54,7.22,17.31,11.17,35.29,41.17,56.61,39.71,13.34,37.62,9.53,51.17,12.15,13.17,21.95,17.31,21.60,66.17,
205,8.88,4.53,16.53,6.79,10.04,4.50,51.53,35.58,11.57,0.00,15.02,36.66,0.00,10.78,18.87,16.53,19.25,17.66,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,23.11,,,,,,,,,,,,,,,,,,
#,,6570,,,,6680,6810,,7040,7170,7330,7480,7480,7480,7690,7930,8120,8580,8730
#,,28,,40,20,40,61,13,100,50,57,23,23,25,49,27,15,76,38
#,,Ra222,,Ac223,Th225,Ac223,Ra221,Th225,Ac222,Th224,Th223,Ra220,Pa224,Ac221,Ac221,Ac220,Pa223,Pa222,Th219
#,,6570,,,,6680,6810,6810,7040,7170,7330,7480,7480,7480,7690,7930,8120,8580,8730
#,30,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
#,150,6.59,,9.41,4.71,0.00,26.91,5.73,0.00,2.21,11.73,25.36,25.36,27.57,12.25,8.34,7.28,5.59,1.68
#,165,3.49,,4.99,2.49,7.34,16.69,3.56,12.12,5.54,6.51,8.60,8.60,9.35,9.16,4.30,4.47,7.37,3.69
#,170,6.47,,9.24,4.62,12.61,30.12,6.42,6.30,7.88,8.38,9.66,9.66,10.50,13.38,3.12,4.10,3.19,3.99
#,180,3.08,,4.41,2.20,3.52,8.06,1.72,4.41,0.00,0.00,8.61,8.61,9.36,6.48,3.57,1.65,0.00,1.67
#,190,13.34,,19.06,9.53,32.11,56.61,12.06,37.62,21.95,12.15,17.31,17.31,18.81,20.89,11.17,13.17,9.53,19.54
#,205,11.57,,16.53,8.27,20.13,51.53,10.98,0.00,18.87,0.00,16.53,16.53,17.97,17.61,6.79,10.78,15.02,8.88
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,30,0,,,,,Fr220,,0,,,,,,,,,,
#,150,23.52694045,,,,,,,0,,,,,,,,,,
#,165,12.46876624,,,,,0,,18.35679474,,,,,,,,,,
#,170,23.1092437,,,,,0,,31.51260504,,,,,,,,,,
#,180,11.01494886,,,,,1.652111526,,8.811959087,,,,,,,,,,
#,190,47.65743976,,,,,2.836134454,,80.26516169,,,,,,,,,,
#,205,41.33504493,,,,,0.7930763179,,50.32092426,,,,,,,,,,
#,,,,,,,7.223864553,,,,,,,,,,,,
#,,,,,,,4.528883184,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
